instances,feature_direction,feature_cloudiness,feature_precipitation,feature_precipitationdeposits,feature_windintensity,feature_timeofday,feature_fogdensity,feature_fogdistance,feature_wetness,feature_roadfriction,collision,min_ttc,algo_safety
scenario1,0,0,100,20,80,30,40,0,20,0.4,0,1.322008962755999,0
scenario2,0,0,100,0,20,-90,100,20,0,0.4,0,0.6876128556595911,0
scenario3,1,20,100,80,80,-60,100,0,100,0.1,0,1.0707691641076085,0
scenario4,0,100,100,20,80,30,100,60,20,0.4,0,1.3038244823327565,0
scenario5,1,0,100,60,80,-60,60,40,100,0.4,0,1.0254152179069125,0
scenario6,0,40,100,20,80,-90,40,0,20,0.2,0,0.8889652130688466,0
scenario7,0,0,100,100,40,30,40,0,60,1.0,0,1.970442521751196,0
scenario8,1,20,100,0,80,30,20,80,0,0.4,0,1.8066074938415488,0
scenario9,1,60,100,0,20,30,40,20,100,0.6,0,0.8804686477041207,0
scenario10,0,80,100,0,80,-60,40,0,80,0.1,0,1.0137236182290217,0
scenario11,0,0,100,80,100,30,100,0,0,0.1,0,1.318792740124187,0
scenario12,0,40,80,80,80,-90,100,20,20,0.4,0,0.7900695766828888,0
scenario13,1,20,100,40,20,0,80,0,100,0.8,0,2.224133716519771,0
scenario14,1,20,100,60,60,-30,40,60,0,0.4,0,1.7854062627176124,0
scenario15,0,0,100,20,40,-60,100,100,40,0.4,0,1.4118246850618985,0
scenario16,0,100,80,20,80,30,40,60,20,0.2,0,0.9031559647457322,0
scenario17,0,0,60,20,20,-90,100,20,20,0.4,0,0.7919895652808578,0
scenario18,0,40,100,100,100,30,0,40,60,0.4,0,1.0211926550897206,0
scenario19,0,60,40,0,80,-60,100,40,20,0.4,0,1.378762420380835,0
scenario20,1,100,20,60,40,30,100,0,100,0.4,0,1.6352834942395902,0
scenario21,0,40,80,80,80,30,40,0,60,1.0,0,1.0663975316795855,0
scenario22,0,20,100,20,0,60,100,60,0,0.0,0,1.3338192561217614,0
scenario23,0,0,100,60,80,90,60,80,20,0.1,0,1.0535405352280374,0
scenario24,0,0,60,0,80,30,60,80,0,0.6,0,1.3583538811950926,0
scenario25,0,20,20,0,80,-90,20,0,0,0.1,0,1.386386960417743,0
scenario26,0,60,40,20,100,30,20,0,100,0.1,0,2.0413260435135108,0
scenario27,0,80,60,100,80,0,80,0,80,0.4,0,1.4257797009572015,0
scenario28,1,0,60,60,40,-90,40,40,100,0.2,0,0.9033354977038294,0
scenario29,0,20,80,0,20,-60,60,0,20,0.2,0,0.7746238344153619,0
scenario30,1,60,40,100,100,-60,40,80,0,0.1,0,0.7514481536336034,0
scenario31,1,0,20,80,0,-60,40,100,100,0.4,0,0.9106476984079744,0
scenario32,0,40,80,20,20,-60,100,20,0,0.1,0,0.5819516514708821,0
scenario33,1,0,80,0,80,-30,40,0,40,0.6,0,0.8425878029584899,0
scenario34,1,100,80,80,100,-90,100,40,20,0.2,0,0.8820007411705654,0
scenario35,1,80,0,0,60,30,80,20,80,0.4,0,2.322504075950404,0
scenario36,1,100,60,20,80,30,100,80,40,0.8,0,1.7389975683499463,0
scenario37,0,0,40,40,20,60,100,60,100,0.4,0,1.417600881019299,0
scenario38,1,20,0,0,80,90,0,100,100,0.4,0,2.2418888911508104,0
scenario39,0,40,20,60,40,-90,100,60,20,1.0,0,1.028135578436292,0
scenario40,1,20,80,100,20,30,100,100,60,0.6,0,1.6172893960163937,0
scenario41,0,80,80,80,60,0,40,20,100,0.8,0,0.7872333905201573,0
scenario42,0,60,60,40,60,30,100,0,20,0.8,0,1.312877670061844,0
scenario43,0,100,80,20,40,-60,40,60,80,0.1,0,1.0261055648650428,0
scenario44,0,20,40,20,80,-90,60,20,20,0.0,0,1.6894818036732728,0
scenario45,0,0,20,20,80,60,60,40,60,0.2,0,1.541895208660529,0
scenario46,1,40,80,40,80,-60,0,0,0,0.1,0,1.791030679901617,0
scenario47,0,100,60,80,20,-90,20,80,60,0.1,0,1.4680792149657962,0
scenario48,0,0,40,20,0,30,20,80,20,0.0,0,1.4753232442640007,0
scenario49,0,100,60,0,100,0,100,60,20,0.6,0,1.308796070719495,0
scenario50,0,0,0,60,100,-30,100,0,80,1.0,0,0.888029195772901,0
scenario51,0,60,60,20,100,-90,100,20,40,1.0,0,0.7475611235662399,0
scenario52,0,0,0,100,0,-90,40,0,20,0.6,0,0.923663592988674,0
scenario53,1,40,60,20,20,-60,60,40,60,0.6,0,0.7573346774382539,0
scenario54,1,100,40,80,100,-60,20,20,0,0.2,0,0.820155373115217,0
scenario55,0,80,20,60,40,-60,100,60,0,1.0,0,1.3902461461251625,0
scenario56,1,40,40,0,40,60,40,0,100,0.0,0,1.073588344887373,0
scenario57,1,100,80,40,40,90,40,0,100,0.1,0,2.13663597087826,0
scenario58,0,20,40,80,20,-60,80,80,20,0.2,0,1.437779165650508,0
scenario59,1,40,60,100,40,-60,60,20,0,0.1,0,1.0165240609958817,0
scenario60,1,60,20,0,20,-60,60,40,60,0.1,0,0.9377276626382788,0
scenario61,1,20,80,0,40,-30,20,60,20,0.2,0,1.0389049423647052,0
scenario62,0,0,40,20,20,0,80,40,0,1.0,0,1.334978939498208,0
scenario63,0,80,40,60,20,-90,80,20,80,0.1,0,1.3822846990026791,0
scenario64,0,80,20,20,60,-30,20,20,20,0.8,0,1.3695757871936616,0
scenario65,0,0,60,0,60,-90,60,80,100,1.0,0,1.4059857247308771,0
scenario66,1,20,80,80,0,60,100,40,100,0.2,0,2.4187450380228146,0
scenario67,1,40,80,100,20,90,100,20,60,0.0,0,2.0168050977144887,0
scenario68,0,20,60,20,100,-90,60,100,80,0.1,0,1.3971239581866808,0
scenario69,1,0,0,80,40,-90,0,60,40,0.8,0,0.9429312144158905,0
scenario70,1,60,80,0,100,0,20,80,0,0.6,0,2.340365246586697,0
scenario71,1,60,20,60,60,-60,20,20,100,0.6,0,0.8409572547245032,0
scenario72,0,0,0,20,20,-30,0,100,20,0.1,0,1.4104471182763805,0
scenario73,0,80,0,100,100,-60,80,100,100,0.8,0,1.4053187256084692,0
scenario74,0,40,80,80,100,-60,60,60,80,1.0,0,0.9847947184920368,0
scenario75,1,20,40,60,100,0,20,80,60,1.0,0,0.7294568943400347,0
scenario76,0,20,20,100,20,-60,0,20,40,0.6,0,1.4255543228727174,0
scenario77,1,100,60,0,40,-30,60,40,80,0.2,0,1.025332420621472,0
scenario78,1,80,60,0,0,0,80,20,20,0.1,0,2.036206283927483,0
scenario79,0,0,60,40,0,-90,20,60,20,0.0,0,1.3774519483771444,0
scenario80,0,0,60,80,80,30,40,0,20,0.4,0,1.0849070214017678,0
scenario81,0,0,100,20,80,60,40,0,20,0.4,0,1.3436532721556187,0
scenario82,0,0,100,20,80,90,40,0,20,0.4,0,1.424518146704464,0
scenario83,0,0,80,60,80,30,40,0,20,0.4,0,1.0105688822736654,0
scenario84,0,0,100,20,0,30,40,0,20,0.4,0,1.3550484592588723,0
scenario85,0,0,100,20,80,30,40,0,20,0.0,0,1.3896930472343882,0
scenario86,0,0,100,20,80,60,40,0,20,0.4,0,1.3363031176352194,0
scenario87,0,0,100,20,80,90,40,0,20,0.4,0,1.3648016176567752,0
scenario88,0,0,100,20,80,60,40,0,20,0.4,0,1.3705277505098956,0
