instances,pathinteraction,feature_startego,feature_goalego,feature_startother,feature_goalother,feature_cloudiness,feature_precipitation,feature_precipitationdeposits,feature_windintensity,feature_timeofday,feature_fogdensity,feature_fogdistance,feature_wetness,feature_roadfriction,collision,minttc,algo_safety
scenario1,c1,0,1,1,2,0,60,40,0,90,0,60,80,0.8,False,3.978,0
scenario2,c2,0,1,2,1,0,20,20,40,30,40,100,20,0.2,False,30.904,0
scenario3,c1,0,2,1,2,0,80,60,0,-90,40,100,60,0.1,False,3.239,0
scenario4,c1,1,2,0,1,100,20,20,0,-30,60,80,60,0.4,False,3.938,0
scenario5,c2,2,1,0,1,40,40,80,60,-60,80,100,80,0.8,False,6.489,0
scenario6,c2,2,1,0,1,60,100,80,60,60,80,100,100,0.8,False,4.715,0
scenario7,c2,0,1,2,0,40,80,0,100,-60,100,0,60,1.0,False,3.043,0
scenario8,c2,2,0,0,1,40,40,80,60,-90,100,60,60,0.8,False,3.192,0
scenario9,c2,2,1,0,1,20,80,0,100,-30,0,40,20,0.6,False,5.532,0
scenario10,c4,1,2,2,0,100,40,60,100,60,20,80,60,0.2,False,4.493,0
scenario11,c1,0,2,1,2,60,60,0,0,-60,60,20,0,0.4,True,0.0,1
scenario12,c2,0,1,2,1,60,100,60,0,-90,80,0,80,0.4,False,3.439,0
scenario13,c2,0,1,2,0,40,80,0,100,-60,100,0,60,1.0,True,0.0,1
scenario14,c2,2,1,0,1,40,100,20,100,-90,100,100,40,1.0,False,1703.921,0
scenario15,c2,0,1,2,0,60,80,20,100,0,100,100,60,1.0,False,2575.362,0
scenario16,c2,0,1,2,0,20,100,0,80,-60,80,0,0,0.8,False,2.957,0
scenario17,c2,2,0,0,1,40,80,60,80,30,100,80,60,1.0,False,3.099,0
scenario18,c4,2,0,1,0,20,80,20,100,90,100,60,40,1.0,False,6930.242,0
scenario19,c1,0,2,1,2,60,100,20,100,-30,40,0,40,0.8,False,2.671,0
scenario20,c2,0,1,2,0,60,80,0,80,-90,100,40,80,1.0,False,1.661,0
scenario21,c2,2,0,0,1,60,60,20,100,60,100,0,80,0.8,False,3.262,0
scenario22,c1,0,2,1,2,40,100,0,80,60,100,0,60,1.0,False,3.617,0
scenario23,c2,0,1,2,0,40,100,0,100,-90,100,0,0,1.0,True,0.0,1
