Instances,feature_TimeofDay,feature_Direction,feature_RoadFriction,feature_FogDensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Cloudiness,feature_WindIntensity,feature_Wetness,feature_FogDistance,collision,min_ttc,run_duration,algo_safety
scenario1,-90,right,0.1,100,100,40,20,60,40,0,0,0.7559088066775919,27.15097665786743,0
scenario2,0,left,0.8,80,100,100,0,40,80,20,0,1.0913784578187016,22.69671607017517,0
scenario3,-30,left,0.2,0,60,0,60,0,0,40,0,1.0589473402252916,22.29891967773437,0
scenario4,-60,left,0.4,20,80,20,40,80,20,80,0,1.0961221679907749,22.473403215408325,0
scenario5,0,right,0.6,20,20,60,60,20,60,60,0,0.9669230680727816,27.18800640106201,0
scenario6,0,right,1.0,40,0,100,80,100,100,40,0,0.8112328040319755,27.0568482875824,0
scenario7,60,right,0.8,80,60,80,100,20,20,100,0,0.7960220554991733,26.77089524269104,0
scenario8,90,right,0.6,60,40,40,80,0,80,100,0,0.948555980375552,26.31075119972229,0
scenario9,30,left,1.0,0,40,80,20,40,100,80,0,1.0719501032021506,22.03492116928101,0
scenario10,60,right,0.2,60,20,100,0,80,0,0,0,0.904955903167548,26.494346857070923,0
scenario11,90,right,1.0,80,80,60,40,60,0,40,0,0.9051883907408,26.330093145370483,0
scenario12,-60,left,0.4,100,40,100,100,100,40,60,0,1.0705208188187714,22.16022253036499,0
scenario13,0,right,0.8,0,0,20,40,0,60,0,0,1.025164577913397,27.277754306793213,0
scenario14,-60,left,0.6,40,80,0,100,20,100,0,0,1.0872604016815577,22.39391231536865,0
scenario15,90,left,0.2,40,100,100,60,60,60,80,0,1.1547999694546125,21.8173463344574,0
scenario16,90,left,0.1,60,20,80,40,100,40,20,0,1.1701789808809215,21.89575862884521,0
scenario17,90,right,0.1,20,0,20,100,40,0,60,0,0.7890419132574341,26.32100510597229,0
scenario18,-90,left,1.0,60,100,0,60,80,20,100,0,1.0425746790954558,22.44938898086548,0
scenario19,60,right,0.4,40,60,60,20,100,80,20,0,0.7685346838145969,26.03231930732727,0
scenario20,0,left,0.2,100,80,60,20,0,20,100,0,1.094256193799302,22.490578174591064,0
scenario21,30,right,0.8,40,80,40,60,80,40,60,0,0.9573420586008862,26.35817670822144,0
scenario22,60,left,0.4,100,80,80,80,40,60,0,0,1.108579515279816,22.10498261451721,0
scenario23,60,left,0.6,0,20,100,100,60,80,40,0,1.1052970931232025,22.14786672592163,0
scenario24,60,left,1.0,20,40,80,0,0,0,20,0,1.096871924198356,21.84974265098572,0
scenario25,60,left,0.1,0,0,40,80,20,0,80,0,1.0854527719873115,22.0033814907074,0
scenario26,90,right,0.8,100,20,60,80,80,100,80,0,0.9321836435187624,26.49442982673645,0
scenario27,90,left,0.6,100,60,20,0,20,40,40,0,1.1896859598509717,22.28793668746948,0
scenario28,0,right,0.4,0,100,60,100,80,40,40,0,0.7907452635068722,27.240684747695923,0
scenario29,60,left,0.2,80,100,20,40,100,100,60,0,1.2120998711086175,22.333059549331665,0
scenario30,60,right,0.2,60,0,0,100,40,40,20,0,0.7768646042360854,26.50264263153076,0
scenario31,30,right,0.4,40,20,80,0,60,60,100,0,0.9321439151319642,26.27325177192688,0
scenario32,-30,left,0.2,80,40,40,20,20,80,0,0,1.1034583880509694,22.616724491119385,0
scenario33,-60,right,0.1,60,60,100,20,40,60,100,0,0.7494710426768463,27.00825572013855,0
scenario34,90,left,0.8,0,80,0,0,100,20,60,0,1.079020169194498,21.90835738182068,0
scenario35,60,right,0.8,20,40,0,20,80,60,40,0,0.8826625932191751,26.488366842269897,0
scenario36,-30,right,0.6,100,0,20,60,60,20,20,0,0.8177974115370595,26.96909618377685,0
scenario37,30,right,1.0,80,20,40,100,0,20,80,0,0.877118307106486,26.558013916015625,0
scenario38,90,left,1.0,20,60,60,60,40,80,0,0,1.1688809973586525,21.824919939041138,0
scenario39,-30,right,0.4,40,100,20,80,20,0,100,0,0.9005125934502003,26.99979376792908,0
scenario40,-60,right,0.1,20,20,0,80,0,80,20,0,0.8987163921507014,27.16734981536865,0
scenario41,60,left,0.1,80,0,60,0,80,20,60,0,1.0739096620738315,21.9900336265564,0
scenario42,-90,left,0.6,80,60,100,80,0,60,60,0,1.0298087064579262,22.232908964157104,0
scenario43,0,left,1.0,20,20,40,40,40,40,100,0,1.0097763614225066,22.61581516265869,0
scenario44,-60,right,0.2,0,0,80,60,80,100,20,0,0.9045212110294072,25.735530853271484,0
scenario45,30,left,0.6,0,0,0,40,100,80,100,0,1.1340034157270016,22.05327010154724,0
scenario46,60,left,0.4,20,0,100,20,60,100,0,0,1.187533462995522,22.020690202713013,0
scenario47,-60,right,0.6,40,40,60,0,100,0,80,0,0.8236489947983583,25.315101385116577,0
scenario48,-90,right,0.2,20,0,80,40,20,20,40,0,0.8558746309743246,26.75560140609741,0
scenario49,-60,right,0.4,40,100,40,40,40,80,40,0,0.8510612549668025,27.091954946517944,0
scenario50,0,left,1.0,100,60,0,100,60,60,20,0,1.0484637433831585,22.51869416236877,0
scenario51,-60,right,0.2,60,60,20,0,60,80,60,0,0.8514335795349832,26.886562824249268,0
scenario52,90,right,0.4,60,100,80,100,0,100,0,0,0.898776738423804,26.33813190460205,0
scenario53,60,right,0.1,80,80,20,60,0,40,80,0,0.8771877253062341,26.508813858032227,0
