Row,startego,goalego,startother,goalother,cloudiness,precipitation,precipitationdeposits,windintensity,fogdensity,fogdistance,wetness,roadfriction
scenario1,0,1,1,2,0,60,40,0,0,60,80,0.8
scenario2,0,1,2,1,0,20,20,40,80,40,100,0.2
scenario3,1,2,0,1,60,0,80,60,0,0,40,1
scenario4,2,1,0,1,0,0,100,20,20,0,40,0.6
scenario5,2,0,1,0,40,60,0,40,40,80,60,0.2
scenario6,2,0,1,2,0,60,100,80,60,100,80,1
scenario7,2,0,1,0,80,100,60,40,80,0,100,0.2
scenario8,1,2,2,0,60,100,40,20,40,40,80,0.6
scenario9,0,2,1,2,60,80,40,0,20,80,0,1
scenario10,2,1,0,1,40,20,60,80,80,100,0,1
scenario11,0,1,2,0,100,100,20,80,60,20,20,0.8
scenario12,0,1,2,0,60,0,0,20,60,20,0,0.4
scenario13,2,0,1,0,80,100,60,40,80,0,100,0.2
scenario14,2,0,1,0,80,100,80,40,80,20,100,0.4
scenario15,2,0,1,0,0,100,60,20,80,0,100,0.4
scenario16,1,0,2,0,60,100,60,20,100,0,100,0.2
scenario17,1,2,2,0,60,100,40,20,80,0,100,0.1
scenario18,2,0,1,2,60,100,60,60,60,80,100,0.8
scenario19,2,0,1,0,80,100,40,40,100,20,20,0.6
scenario20,0,1,2,0,100,100,40,40,60,100,100,0.2
scenario21,0,1,2,0,40,80,40,20,60,20,100,0.2
scenario22,1,2,2,0,80,40,80,40,60,0,100,0.2
scenario23,2,1,0,1,100,100,100,40,0,20,80,0.1
scenario24,1,0,2,0,0,80,100,40,80,0,100,0.4
scenario25,1,2,2,0,80,40,80,40,60,0,100,0.2
scenario26,1,0,2,0,80,80,60,0,0,20,100,0.1
scenario27,0,1,1,2,80,100,100,20,40,40,100,0.6
scenario28,2,0,1,0,0,80,100,20,100,0,80,0.2
scenario29,1,2,2,0,60,100,40,20,80,20,100,0.1
scenario30,2,1,0,1,60,40,80,100,20,0,100,0.8
scenario31,0,1,2,0,0,100,60,20,60,0,40,0.6
scenario32,0,1,2,0,40,40,40,20,60,20,80,0.2
scenario33,2,1,0,1,80,40,60,20,60,0,20,0.4
scenario34,0,2,1,2,40,100,60,20,80,20,100,0.2
scenario35,1,2,2,0,60,60,60,20,20,20,100,0.2
scenario36,2,0,0,1,0,80,100,40,80,0,100,0.4
scenario37,1,2,2,0,80,40,80,40,60,0,100,0.2
scenario38,0,1,2,0,0,80,80,40,80,0,100,1
scenario39,2,0,1,0,60,80,60,20,80,20,80,0.4
scenario40,0,1,2,0,0,100,40,60,60,0,40,0.6
scenario41,2,0,1,0,100,40,20,0,60,20,20,0.4
scenario42,2,0,0,1,0,100,80,80,80,20,100,0.4
scenario43,2,1,0,1,40,100,100,40,80,0,100,0.6
scenario44,2,0,1,0,40,80,100,80,80,0,60,0.4
scenario45,1,2,0,2,20,100,80,20,100,0,80,0.6
scenario46,2,0,1,2,60,60,80,40,60,0,20,0.4
scenario47,1,0,2,0,0,80,100,40,0,0,80,0.2
scenario48,1,2,0,2,60,100,40,20,100,20,100,0.4
scenario49,2,0,1,2,60,60,80,40,60,0,20,0.4
scenario50,2,0,1,0,40,60,100,80,100,0,60,0.2
scenario51,2,0,1,0,100,60,20,0,40,40,0,0.4
scenario52,2,0,0,1,20,100,0,60,40,0,60,0.8
scenario53,1,2,0,2,0,80,100,0,100,0,100,0.2
scenario54,2,0,1,0,0,100,40,40,80,40,80,0.4
scenario55,0,1,2,1,100,40,20,0,40,20,0,0.2
scenario56,1,2,0,2,60,40,60,20,100,100,100,0.4
scenario57,2,0,0,1,20,100,40,60,80,0,20,0.6
scenario58,2,0,1,0,60,100,60,40,100,0,80,0.2
scenario59,0,1,2,0,0,100,60,80,80,20,100,0.4
scenario60,1,2,2,0,80,60,40,0,60,20,40,0.4
scenario61,2,0,1,2,60,60,80,40,60,0,20,0.4
scenario62,0,2,1,2,100,60,0,0,20,40,100,0.2
scenario63,0,1,1,2,20,40,100,20,80,0,80,0.2
scenario64,0,1,2,1,80,60,40,0,80,20,0,0.2
scenario65,2,0,0,1,20,0,20,60,40,0,80,0.6
scenario66,2,0,1,0,100,60,20,0,20,60,60,0.2
scenario67,1,2,0,2,60,20,40,20,0,80,100,0.2
scenario68,2,0,1,2,60,40,0,80,100,0,80,0.6
scenario69,2,1,0,1,60,100,40,40,100,0,60,0.2
scenario70,2,0,1,2,60,80,80,20,100,0,80,0.2
scenario71,2,0,1,2,60,100,60,20,100,0,100,0.2
scenario72,1,2,0,2,40,100,0,60,20,20,60,0.2
scenario73,2,0,1,2,0,60,100,80,60,100,80,1
scenario74,2,0,1,2,0,60,100,80,60,100,80,1
scenario75,2,0,1,2,0,60,100,80,60,60,60,0.8
scenario76,0,1,2,0,40,0,0,20,60,20,20,0.2
scenario77,1,2,2,0,60,100,60,20,40,40,100,0.6
scenario78,0,1,2,0,20,60,0,40,40,80,60,0.1
scenario79,0,1,2,0,100,0,20,80,60,20,20,0.8
scenario80,0,1,2,0,60,0,0,20,60,20,0,0.6
scenario81,2,0,1,2,0,40,100,80,60,100,80,1
scenario82,1,2,2,0,60,40,80,40,60,0,100,0.2
scenario83,0,2,1,2,100,80,20,100,60,100,20,0.8
scenario84,2,0,1,0,40,60,20,40,60,20,0,0.6
scenario85,1,2,2,0,60,100,60,20,40,40,100,0.6
scenario86,1,0,2,0,40,100,40,0,60,40,100,0.8
scenario87,1,2,0,1,80,20,60,60,60,20,40,0.6
scenario88,2,1,0,1,40,100,100,0,20,20,100,0.1
scenario89,2,1,0,1,60,100,80,20,20,40,100,0.8
scenario90,2,1,0,1,60,80,80,0,20,40,100,0.6
scenario91,1,2,2,0,80,100,80,40,60,60,100,0.6
scenario92,1,0,2,0,60,100,60,20,40,40,100,0.6
scenario93,1,0,2,0,60,100,80,0,40,40,100,0.6
scenario94,2,0,0,1,60,80,60,0,60,40,100,0.4
scenario95,0,1,1,2,80,100,60,20,60,20,100,0.8
scenario96,0,2,1,2,60,100,60,100,60,60,100,0.4
scenario97,1,2,2,0,60,100,60,20,40,40,100,0.6
scenario98,1,2,2,0,80,80,40,0,40,40,80,0.1
scenario99,1,2,0,2,60,60,80,20,0,60,100,0.4
scenario100,1,2,0,2,20,100,40,0,80,20,100,0.8
scenario101,2,1,0,1,60,100,40,20,40,60,100,0.8
scenario102,1,2,2,0,60,0,80,0,0,40,100,0.8
scenario103,1,0,2,0,60,100,40,40,60,40,100,0.8
scenario104,1,0,2,0,20,100,80,20,40,20,100,0.4
scenario105,0,1,2,1,60,100,60,40,40,40,80,0.8
scenario106,1,2,0,2,60,80,80,20,40,40,100,0.4
scenario107,1,2,0,1,80,20,60,40,40,20,40,0.8
scenario108,0,2,1,2,80,100,60,100,60,100,100,0.6
scenario109,1,2,2,0,60,100,60,20,40,40,100,0.6
scenario110,0,1,2,1,60,100,40,20,0,60,20,1
scenario111,1,2,0,1,60,100,0,20,60,20,80,0.8
scenario112,0,2,1,2,80,20,40,40,20,20,20,1
scenario113,1,2,2,0,80,60,20,0,40,60,40,0.1
scenario114,1,2,0,2,60,60,80,20,20,80,0,0.4
scenario115,0,2,1,2,40,80,60,20,80,40,80,0.8
scenario116,1,2,0,1,40,60,100,0,60,40,80,0.2
scenario117,0,1,2,1,60,80,40,20,0,40,40,0.8
scenario118,1,2,0,1,20,100,60,0,20,60,100,0.2
scenario119,1,0,2,0,60,100,60,60,60,60,80,0.6
scenario120,2,0,1,0,0,100,100,60,60,80,80,0.4
scenario121,1,2,2,0,80,60,20,0,40,60,40,0.1
scenario122,2,1,0,1,40,80,20,80,60,0,60,0.8
scenario123,2,1,0,1,80,100,60,20,40,60,80,0.6
scenario124,1,2,2,0,40,80,100,40,40,60,80,0.4
scenario125,1,0,2,0,60,0,80,20,80,40,80,0.4
scenario126,0,1,2,1,20,100,60,0,40,40,100,0.2
scenario127,1,2,0,1,0,100,80,0,0,60,100,0.4
scenario128,0,1,1,2,60,20,60,0,0,100,100,0.4
scenario129,0,2,1,2,60,80,60,40,0,80,0,1
scenario130,1,2,2,0,60,100,60,60,60,80,20,0.4
scenario131,2,0,1,0,40,100,60,40,80,80,80,0.4
scenario132,1,2,0,1,20,60,80,20,20,40,100,0.2
scenario133,1,2,2,0,80,60,20,0,40,60,40,0.1
scenario134,0,1,1,2,60,40,60,0,0,100,100,0.4
scenario135,1,2,0,2,60,20,80,20,80,60,80,0.6
scenario136,1,2,0,1,80,40,20,20,60,60,20,0.2
scenario137,1,2,2,0,80,0,80,20,80,40,60,0.4
scenario138,2,1,0,1,40,60,0,100,80,0,80,0.2
scenario139,1,2,0,1,100,0,60,0,20,100,100,0.4
scenario140,2,0,1,2,40,40,40,0,20,100,100,1
scenario141,0,1,1,2,40,100,80,100,60,40,80,0.4
scenario142,2,0,1,2,60,0,60,0,0,20,80,0.6
scenario143,2,0,1,0,20,80,100,40,40,0,80,0.4
scenario144,1,2,2,0,40,40,80,0,60,100,100,0.6
scenario145,2,0,1,2,0,60,100,80,60,100,80,1
scenario146,0,2,1,2,40,0,0,40,40,80,60,0.1
scenario147,0,1,2,0,20,60,0,40,40,20,0,0.6
scenario148,1,0,2,0,100,60,100,80,60,60,80,0.8
scenario149,0,1,1,2,0,60,100,80,80,100,80,1
scenario150,0,1,2,0,20,100,60,20,40,40,100,0.6
scenario151,1,2,2,0,20,60,0,40,40,60,40,0.1
scenario152,2,0,1,2,0,60,100,60,80,100,80,1
scenario153,2,0,1,2,0,60,100,100,40,100,60,1
scenario154,2,0,1,2,100,60,100,80,60,20,20,1
scenario155,0,1,2,0,100,0,20,80,0,60,60,0.8
