Row,goalego,windintensity,roadfriction,fogdistance,startother,precipitationdeposits,cloudiness,fogdensity,goalother,precipitation,wetness,timeofday,startego
scenario16,-1.15287781284841,1.25367236431317,-0.262252066891402,1.28437879115489,-0.0963827026737414,0.8757237128577,-1.7320657245821,0.38717682081696,-1.20301452220398,-0.574699797682419,0.42990142404788,1.25216238411052,1.17060717397565
scenario17,1.18300374131107,-0.702437442654243,-1.39292550123197,-1.74433166652838,-1.12482529767931,-0.73256600278132,-0.0992003172411591,-0.12720271002104,0.167872494244836,1.25823710858064,1.24967845801396,-1.81598244166587,0.0925886075648372
scenario18,0.25150790426827,1.25367236431317,-0.262252066891402,-0.103860476478635,-0.0963827026737414,0.416346287330929,-0.709751135266908,1.25580121411426,1.17012933131472,1.25823710858064,-0.0644810639277774,0.912575490810873,-1.26064747124053
scenario19,0.25150790426827,-0.0888267508506638,-1.39292550123197,-0.728255814569985,1.15469373530813,1.29451907208588,0.400471888412084,0.38717682081696,0.167872494244836,0.0194494154861099,0.86078044836283,1.25216238411052,-1.26064747124053
scenario20,-1.15287781284841,0.413349642553131,0.918648145408288,0.412466231431965,-0.0963827026737414,1.29451907208588,1.23660419840849,0.38717682081696,1.17012933131472,0.0194494154861099,-0.674868260520131,0.912575490810873,1.17060717397565
scenario21,-1.15287781284841,-0.0888267508506638,1.41574524478508,-0.103860476478635,-1.12482529767931,-0.103687582892591,-0.709751135266908,-0.12720271002104,0.167872494244836,0.49078400328234,0.42990142404788,-0.315196174990568,1.17060717397565
scenario22,1.18300374131107,1.25367236431317,0.918648145408288,-0.728255814569985,-0.0963827026737414,1.29451907208588,-0.709751135266908,-0.749243321409427,1.17012933131472,0.896079122771657,0.86078044836283,0.546137799578477,-1.26064747124053
scenario23,-1.15287781284841,-0.0888267508506638,-0.98492297758744,-0.103860476478635,-0.0963827026737414,-0.103687582892591,-0.0992003172411591,-1.76148733671742,1.17012933131472,0.896079122771657,-1.72676197191635,-0.315196174990568,1.17060717397565
scenario24,1.18300374131107,-0.702437442654243,-0.98492297758744,1.28437879115489,1.15469373530813,-0.73256600278132,-1.7320657245821,-0.749243321409427,-1.20301452220398,0.0194494154861099,1.24967845801396,0.143021337759772,0.0925886075648372
scenario25,0.25150790426827,-0.0888267508506638,-0.98492297758744,-1.74433166652838,1.15469373530813,1.29451907208588,-0.709751135266908,-0.749243321409427,-1.20301452220398,-0.574699797682419,-0.0644810639277774,0.546137799578477,-1.26064747124053
scenario26,-1.15287781284841,0.853977547714663,1.41574524478508,1.28437879115489,-0.0963827026737414,-0.103687582892591,0.838902527797785,-0.12720271002104,1.17012933131472,-0.574699797682419,0.86078044836283,-1.81598244166587,1.17060717397565
scenario27,1.18300374131107,0.853977547714663,0.918648145408288,0.868568895877142,-1.12482529767931,0.416346287330929,0.838902527797785,0.841559425777797,0.167872494244836,0.896079122771657,-0.674868260520131,-1.81598244166587,0.0925886075648372
scenario28,-1.15287781284841,1.25367236431317,0.364524499941289,0.412466231431965,1.15469373530813,-1.75593715449419,1.23660419840849,1.25580121411426,-1.20301452220398,-0.574699797682419,1.24967845801396,0.143021337759772,0.0925886075648372
scenario29,1.18300374131107,-1.72987552621788,-0.262252066891402,0.868568895877142,-0.0963827026737414,0.8757237128577,-1.7320657245821,1.25580121411426,1.17012933131472,-1.660115969695,0.42990142404788,-0.315196174990568,-1.26064747124053
scenario30,1.18300374131107,0.853977547714663,-0.262252066891402,0.412466231431965,1.15469373530813,-0.73256600278132,-0.709751135266908,-1.76148733671742,-1.20301452220398,-0.574699797682419,-0.674868260520131,0.143021337759772,0.0925886075648372
scenario31,1.18300374131107,0.413349642553131,1.41574524478508,-1.74433166652838,-1.88728312915263,-0.103687582892591,-0.0992003172411591,0.841559425777797,1.17012933131472,0.896079122771657,0.42990142404788,1.25216238411052,0.0925886075648372
scenario32,-1.15287781284841,0.413349642553131,0.364524499941289,1.28437879115489,1.15469373530813,0.8757237128577,-1.7320657245821,-0.12720271002104,-1.20301452220398,0.49078400328234,-0.0644810639277774,0.912575490810873,0.0925886075648372
