Row,direction,cloudiness,precipitation,precipitationdeposits,windintensity,timeofday,fogdensity,fogdistance,wetness,roadfriction
scenario1,0,40,0,60,40,-90,0,60,80,0.8
scenario2,1,40,0,20,20,-30,80,40,100,0.2
scenario3,0,0,60,0,80,0,0,0,40,1
scenario4,1,0,0,0,100,-60,20,0,40,0.6
scenario5,1,40,60,0,40,-30,80,60,20,0.8
scenario6,1,0,60,100,80,0,100,80,100,1
scenario7,1,80,100,60,40,30,0,100,20,1
scenario8,0,60,100,40,20,-30,40,80,60,0.1
scenario9,1,60,80,40,0,-60,80,0,100,0.4
scenario10,0,40,20,60,80,30,100,0,100,0.4
scenario11,1,100,100,20,80,0,20,20,80,0.6
scenario12,1,60,0,0,20,0,20,0,40,0.4
scenario13,1,80,100,60,40,30,0,100,20,1
scenario14,1,80,100,80,40,90,20,100,40,0.8
scenario15,1,100,80,60,40,30,20,100,40,1
scenario16,0,100,100,60,40,30,0,80,40,0.8
scenario17,0,100,80,0,20,30,0,100,20,0.6
scenario18,1,80,80,60,80,30,0,80,20,0.8
scenario19,1,100,100,20,60,0,0,100,40,1
scenario20,1,40,100,80,40,0,0,80,0,1
scenario21,1,80,20,60,20,30,0,80,0,0.6
scenario22,0,100,100,100,40,-90,20,80,0,1
scenario23,0,0,80,100,40,30,0,100,40,1
scenario24,1,100,80,60,20,-90,20,100,0,0.1
scenario25,1,100,80,60,20,-90,20,100,0,0.1
scenario26,0,100,100,100,20,-30,40,100,20,1
scenario27,1,20,80,40,60,30,0,80,20,1
scenario28,0,100,100,80,60,-90,20,60,0,1
scenario29,0,80,80,60,60,30,0,100,40,0.8
scenario30,0,0,0,40,60,0,0,40,40,0.8
scenario31,0,80,60,100,40,0,0,100,40,0.2
scenario32,0,80,0,80,0,30,20,80,0,0.2
scenario33,0,20,80,20,40,90,20,20,60,1
scenario34,0,80,100,80,40,60,0,80,20,0.8
scenario35,1,20,80,80,40,30,0,100,100,1
scenario36,1,80,100,80,40,0,0,80,0,1
scenario37,1,20,80,80,40,30,0,100,100,1
scenario38,0,80,60,100,20,90,0,100,40,0.2
scenario39,1,20,80,100,40,60,0,20,60,0.2
scenario40,1,0,80,40,80,0,80,80,40,1
scenario41,0,80,40,100,20,0,20,100,40,0.2
scenario42,0,40,40,80,40,30,0,100,80,1
scenario43,0,100,100,100,20,-30,20,80,0,1
scenario44,1,0,100,40,60,90,0,20,60,1
scenario45,1,20,100,40,0,90,20,20,60,1
scenario46,0,20,0,20,60,30,0,40,60,0.6
scenario47,0,40,100,40,60,0,0,20,20,1
scenario48,0,60,80,80,20,60,0,100,20,0.1
scenario49,1,20,80,80,40,30,0,100,100,1
scenario50,1,0,20,80,60,30,20,40,40,0.6
scenario51,1,0,100,20,60,90,20,80,40,1
scenario52,1,100,40,100,20,90,0,100,60,0.2
scenario53,0,80,100,100,0,60,0,40,40,0.1
scenario54,1,100,60,80,20,30,100,60,20,0.8
scenario55,0,0,80,60,100,-30,80,60,40,1
scenario56,1,20,100,20,0,90,20,20,60,0.8
scenario57,0,80,60,60,0,30,0,40,40,0.2
scenario58,1,20,100,20,60,60,0,20,20,1
scenario59,1,60,100,40,80,-30,0,0,20,0.8
scenario60,0,0,100,60,60,30,80,80,20,0.4
scenario61,1,20,80,80,40,30,0,100,100,1
scenario62,1,0,80,80,20,30,100,40,40,0.8
scenario63,1,0,80,80,60,0,60,80,0,0.2
scenario64,1,60,100,80,20,-60,0,0,40,0.6
scenario65,1,100,60,60,20,60,0,80,40,0.2
scenario66,0,0,100,80,100,30,80,60,0,0.6
scenario67,1,100,60,80,20,30,100,80,20,0.8
scenario68,1,100,100,20,80,90,0,0,20,0.8
scenario69,1,40,100,20,0,90,40,0,60,0.6
scenario70,0,60,80,80,20,90,0,20,40,0.2
scenario71,0,80,60,40,60,60,0,40,60,0.1
scenario72,1,0,100,80,40,30,0,100,100,0.8
scenario73,1,80,100,60,40,30,0,100,20,1
scenario74,0,60,100,20,40,-30,40,80,60,0.1
scenario75,1,40,60,20,40,-30,80,40,40,0.8
scenario76,1,20,80,80,40,30,0,100,100,1
scenario77,1,0,0,0,60,-60,40,20,20,0.6
scenario78,1,40,20,20,40,-30,80,40,100,0.4
scenario79,1,20,100,20,80,0,20,0,100,0.6
scenario80,0,20,60,0,40,-60,80,60,20,0.8
scenario81,1,40,60,0,40,-30,80,40,20,0.1
scenario82,1,100,0,20,0,-30,80,40,100,0.2
scenario83,0,40,20,60,40,-90,20,60,80,0.8
scenario84,0,40,0,60,60,-90,20,60,80,0.8
scenario85,1,20,80,80,40,30,0,100,100,1
scenario86,1,20,80,80,80,30,20,100,100,1
