Instances,feature_Cloudiness,feature_WindIntensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Wetness,feature_RoadFriction,feature_FogDensity,feature_FogDistance,Visibility,RoadSurface,VehicleStability,PathInteraction,probability,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,collision,min_ttc,algo_safety
scenario1,0,80,0,0,100,0.1,0,100,0,0,0,c1,1e-05,base,left,left,right,0,2.455508282056012,0
scenario2,60,60,60,100,40,0.6,100,0,0,0,0,c2,1e-05,base,left,right,left,0,3.014250221363218,0
scenario3,20,20,20,80,0,0.6,0,100,0,0,0,c4,1e-05,right,base,left,right,0,0.9036173574478404,0
scenario4,20,100,0,0,0,0.2,80,20,0,0,20,c1,1e-05,left,right,base,left,0,5.229721630682282,0
scenario5,20,40,100,0,80,0.4,40,60,0,0,20,c2,1e-05,right,left,base,left,0,3.518138847466872,0
scenario6,60,40,20,80,100,0.6,20,80,0,0,20,c4,1e-05,right,base,left,base,0,11.891895184382822,0
scenario7,60,100,0,0,0,0.0,0,100,0,0,40,c1,1e-05,base,right,left,right,0,3.3029870212389048,0
scenario8,80,80,0,20,100,0.6,80,20,0,0,40,c2,1e-05,right,base,base,left,0,2.345679025346763,0
scenario9,40,20,20,0,40,0.8,20,80,0,0,40,c4,1e-05,left,base,right,base,1,0.0,1
scenario10,40,100,60,100,40,0.6,0,100,0,0,60,c1,1e-05,left,right,base,right,0,5.811009331200953,0
scenario11,60,20,20,20,0,0.8,100,0,0,0,60,c2,1e-05,base,left,right,base,0,2.1677533596176413,0
scenario12,20,100,100,0,80,0.8,100,0,0,0,60,c4,1e-05,left,right,right,base,0,9999.0,0
scenario13,40,20,100,100,40,0.6,20,80,0,0,80,c1,1e-05,base,left,left,right,0,2.898326681174946,0
scenario14,20,100,20,40,60,0.8,40,60,0,0,80,c2,1e-05,base,left,right,left,0,3.605536621452421,0
scenario15,80,60,0,0,100,0.4,20,80,0,0,80,c4,1e-05,right,base,left,right,0,1.3931959409170604,0
scenario16,40,80,100,0,0,0.8,80,20,0,0,100,c1,1e-05,left,right,base,left,0,5.744893940635111,0
scenario17,20,20,40,0,100,0.2,100,0,0,0,100,c2,1e-05,right,left,base,left,0,3.0751021703980506,0
scenario18,0,40,0,100,40,0.6,80,20,0,0,100,c4,1e-05,right,base,left,base,0,4.083243507858615,0
scenario19,80,20,0,100,40,0.6,80,20,0,20,0,c1,1e-05,base,right,left,right,0,2.9289650567989383,0
scenario20,20,20,20,60,40,0.6,100,80,0,20,0,c2,1e-05,right,base,base,left,0,2.57355964341123,0
scenario21,80,60,40,40,0,0.8,40,60,0,20,0,c4,1e-05,left,base,right,base,0,3.434392356556592,0
scenario22,80,20,0,0,60,0.2,80,20,0,20,20,c1,1e-05,left,right,base,right,0,5.1924793536093725,0
scenario23,20,100,20,0,80,0.8,100,0,0,20,20,c2,1e-05,base,left,right,base,0,1.982786087438527,0
scenario24,20,20,100,0,0,0.8,0,100,0,20,20,c4,1e-05,left,right,right,base,0,1.800173437845185,0
scenario25,0,40,0,20,40,0.8,80,20,0,20,40,c1,1e-05,base,left,left,right,0,2.361603089771537,0
scenario26,60,100,40,100,60,0.6,60,40,0,20,40,c2,1e-05,base,left,right,left,0,3.067655917662392,0
scenario27,80,100,0,80,60,0.6,0,100,0,20,40,c4,1e-05,right,base,left,right,0,0.9615272419570964,0
scenario28,80,20,20,60,40,0.6,0,100,0,20,60,c1,1e-05,left,right,base,left,0,6.183936033795799,0
scenario29,20,60,60,0,80,0.4,0,100,0,20,60,c2,1e-05,right,left,base,left,0,4.204790440964419,0
scenario30,20,100,0,0,80,0.4,0,20,0,20,60,c4,1e-05,right,base,left,base,0,28.77191597431353,0
scenario31,0,80,0,100,40,0.6,0,100,0,20,80,c1,1e-05,base,right,left,right,0,2.667410229894439,0
scenario32,60,100,0,60,40,0.6,100,0,0,20,80,c2,1e-05,right,base,base,left,0,9999.0,0
scenario33,20,20,0,20,100,0.2,40,60,0,20,80,c4,1e-05,left,base,right,base,1,0.0,1
scenario34,60,100,80,0,100,0.2,40,60,0,20,100,c1,1e-05,left,right,base,right,0,4.455380717386691,0
scenario35,20,80,60,80,0,0.6,40,60,0,20,100,c2,1e-05,base,left,right,base,0,1.735967566696682,0
scenario36,20,20,0,40,0,0.8,40,60,0,20,100,c4,1e-05,left,right,right,base,1,0.0,1
scenario37,80,20,40,0,80,0.4,40,60,0,40,0,c1,1e-05,base,left,left,right,0,2.9708077493086487,0
scenario38,20,100,60,0,0,0.8,40,60,0,40,0,c2,1e-05,base,left,right,left,0,3.385853285934944,0
scenario39,80,40,40,100,40,0.6,40,60,0,40,0,c4,1e-05,right,base,left,right,1,0.0,1
scenario40,0,60,0,0,0,0.4,0,100,0,40,20,c1,1e-05,left,right,base,left,0,7.180773046921976,0
scenario41,20,100,100,100,60,0.6,100,0,0,40,20,c2,1e-05,right,left,base,left,1,0.0,1
scenario42,20,100,60,100,0,0.6,100,0,0,40,20,c4,1e-05,right,base,left,base,0,2.4597112271052097,0
scenario43,80,60,60,0,0,0.8,0,100,0,40,40,c1,1e-05,base,right,left,right,0,2.989651374600616,0
scenario44,40,40,0,60,60,0.6,100,0,0,40,40,c2,1e-05,right,base,base,left,0,2.847837393740664,0
scenario45,60,100,20,100,0,0.6,20,80,0,40,40,c4,1e-05,left,base,right,base,0,3.6882570552613454,0
scenario46,60,20,60,0,0,0.8,40,60,0,40,60,c1,1e-05,left,right,base,right,0,5.738188842784737,0
scenario47,60,100,40,20,0,0.8,100,0,0,40,60,c2,1e-05,base,left,right,base,0,1.4500556317426956,0
scenario48,60,80,60,40,60,0.6,100,0,0,40,60,c4,1e-05,left,right,right,base,0,4.5422628351735845,0
scenario49,20,60,20,100,40,0.4,40,60,0,40,80,c1,1e-05,base,left,left,right,0,2.860874710451234,0
scenario50,20,80,0,0,100,0.6,40,60,0,40,80,c2,1e-05,base,left,right,left,0,3.377006616429679,0
scenario51,40,80,100,0,40,0.6,20,80,0,40,80,c4,1e-05,right,base,left,right,0,1.1216686091838934,0
scenario52,20,20,60,60,40,0.6,100,0,0,40,100,c1,1e-05,left,right,base,left,0,5.718244688075975,0
scenario53,20,40,60,40,40,0.8,40,60,0,40,100,c2,1e-05,right,left,base,left,0,2.179727193736196,0
scenario54,40,100,0,20,60,0.6,0,100,0,40,100,c4,1e-05,right,base,left,base,0,24.6758357287718,0
scenario55,20,100,0,40,0,0.8,20,80,0,60,0,c1,1e-05,base,right,left,right,0,2.1217398751824668,0
scenario56,60,40,20,0,0,0.8,20,0,0,60,0,c2,1e-05,right,base,base,left,0,2.676755259388219,0
scenario57,40,20,20,0,100,0.1,0,100,0,60,0,c4,1e-05,left,base,right,base,0,2.402305640776578,0
scenario58,20,80,20,80,80,0.0,100,0,0,60,20,c1,1e-05,left,right,base,right,0,4.8944947608739895,0
scenario59,20,20,40,100,60,0.6,0,100,0,60,20,c2,1e-05,base,left,right,base,0,1.8431598844319703,0
scenario60,0,20,0,20,60,0.2,0,100,0,60,20,c4,1e-05,left,right,right,base,1,0.0,1
